Designator,Mid X,Mid Y,Rotation,Layer
A1,78.9875,-111.165,270.0,bottom
B1,78.9875,-88.94,270.0,bottom
BOOT1,113.208,-85.776,180.0,bottom
C1,110.668,-120.32,90.0,bottom
C10,96.19,-86.665,90.0,bottom
C11,87.3,-113.97,90.0,bottom
C12,98.73,-86.665,90.0,bottom
C13,92.38,-113.97,270.0,bottom
C14,95.555,-79.68,90.0,top
C15,88.57,-107.62,180.0,top
C16,94.92,-119.05,90.0,bottom
C17,112.065,-100.0,180.0,top
C18,112.065,-97.46,180.0,top
C19,86.03,-82.22,90.0,bottom
C2,115.748,-105.588,270.0,top
C20,106.35,-82.22,270.0,bottom
C21,87.935,-108.255,0.0,bottom
C22,83.49,-82.22,270.0,bottom
C3,113.208,-105.588,270.0,top
C4,96.19,-90.475,270.0,bottom
C5,91.11,-82.22,90.0,bottom
C6,93.65,-82.22,90.0,bottom
C7,88.57,-110.16,180.0,top
C8,100.0,-119.05,90.0,bottom
C9,97.46,-119.05,90.0,bottom
D1,90.475,-98.73,0.0,bottom
D2,90.475,-96.19,0.0,bottom
D3,90.475,-101.27,0.0,bottom
F1,88.57,-93.015,90.0,bottom
F2,93.015,-79.68,270.0,top
J1,99.984,-77.23,0.0,bottom
J2,79.56,-100.13,90.0,bottom
J4,113.97,-115.24,270.0,top
J5,87.3,-100.0,90.0,top
J6,99.995,-124.384,90.0,bottom
R1,108.128,-120.32,90.0,bottom
R10,87.935,-105.715,180.0,bottom
R12,88.57,-82.22,90.0,bottom
R13,90.475,-79.68,270.0,top
R14,87.935,-79.68,90.0,top
R15,102.54,-119.05,90.0,bottom
R16,89.84,-119.05,90.0,bottom
R17,87.935,-110.795,0.0,bottom
R18,93.015,-79.045,0.0,bottom
R19,88.57,-115.24,0.0,top
R2,91.11,-93.015,90.0,bottom
R20,88.57,-117.78,0.0,top
R21,101.27,-86.665,90.0,bottom
R23,88.57,-112.7,180.0,top
R24,92.38,-119.05,90.0,bottom
R25,89.84,-113.97,90.0,bottom
R26,84.125,-118.415,180.0,bottom
R27,87.3,-119.05,90.0,bottom
R3,93.65,-93.015,270.0,bottom
R4,94.285,-96.19,180.0,bottom
R5,94.285,-101.27,180.0,bottom
R6,94.285,-98.73,180.0,bottom
R7,105.08,-119.05,90.0,bottom
R9,85.395,-97.46,90.0,bottom
RESET1,113.208,-114.732,180.0,bottom
TH1,93.65,-86.665,90.0,bottom
U1,108.48,-100.22,90.0,bottom
U10,86.03,-101.905,270.0,bottom
U11,113.8,-87.325,270.0,top
U2,89.205,-87.3,90.0,bottom
U3,113.8,-82.5175,270.0,top
U4,105.08,-86.665,180.0,bottom
U5,103.775,-114.57,0.0,bottom
U6,100.635,-91.745,270.0,top
U7,96.825,-115.24,180.0,bottom
U8,108.255,-80.315,0.0,top
U9,100.7035,-111.43,0.0,top
